
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 55.199 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.955	5.364	
Aelurodon_asthenostylus	19.604	14.103	
Aelurodon_ferox	22.245	5.493	
Aelurodon_mcgrewi	15.828	10.512	
Aelurodon_montanensis	14.412	14.412	
Aelurodon_stirtoni	14.975	10.89	
Aelurodon_taxoides	19.702	5.214	
Aelurodon_wheelerianus	19.115	19.115	
Alopex	3.255	3.255	
Alopex_lagopus	1.663	0.002	
Archaeocyon_falkenbachi	29.204	29.204	
Archaeocyon_leptodus	32.673	21.732	
Archaeocyon_pavidus	33.122	24.539	
Borophaginae	22.507	5.371	
Borophagus	13.711	1.949	
Borophagus_diversidens	4.879	1.803	
Borophagus_dudleyi	3.744	3.744	
Borophagus_hilli	20.111	1.965	
Borophagus_littoralis	21.722	10.36	
Borophagus_orc	9.655	3.909	
Borophagus_parvus	8.742	5.897	
Borophagus_pugnator	20.933	5.62	
Borophagus_secundus	20.178	5.251	
Caedocyon_tedfordi	29.032	29.032	
Canidae	37.106	0.016	
Caninae	25.568	0.12	
Canini	8.619	2.014	
Canis	21.795	0.003	
Canis_adustus	3.289	0.006	extant
Canis_anthus	1.487	1.254	extant
Canis_apolloniensis	0.946	0.946	
Canis_armbrusteri	2.413	0.028	
Canis_aureus	2.709	0.002	extant
Canis_cedazoensis	0.36	0.36	
Canis_dirus	2.208	0.013	
Canis_edwardii	15.137	0.406	
Canis_familiaris	0.719	0.001	extant
Canis_ferox	8.9	1.976	
Canis_latrans	4.449	0.002	extant
Canis_lepophagus	5.558	0.113	
Canis_lupus	2.947	0.001	extant
Canis_mesomelas	5.28	0.004	extant
Canis_proplatensis	1.567	1.567	
Canis_(Pseudalopex)	1.891	0.017	
Canis_rufus	4.537	0.102	extant
Canis_thooides	2.591	2.591	
Carpocyon	15.344	7.683	
Carpocyon_compressus	15.94	11.391	
Carpocyon_limosus	5.858	5.14	
Carpocyon_robustus	13.523	9.623	
Carpocyon_webbi	15.853	6.941	
Cerdocyon_avius	4.736	3.144	
Cerdocyon_texanus	5.575	3.308	
Cerdocyon_thous	0.119	0.004	
Chailicyon_crassidens	48.079	48.079	
Chrysocyon	1.277	1.277	
Chrysocyon_brachyurus	2.532	0.335	
Chrysocyon_nearcticus	4.812	3.472	
Cormocyon	30.178	30.178	
Cormocyon_copei	30.169	7.778	
Cormocyon_haydeni	24.769	21.219	
Cubacyon_transversidens	1.985	1.985	
Cuon	0.709	0.035	
